"Scientific name","Description","Lat","Lon","Status","Link"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",16.2833,121.0833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",18.4667,122.2000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",16.9667,122.4000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.6667,121.3667,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.6500,121.4333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.4000,122.2167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.3167,124.9833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.8000,124.7833,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.3500,125.7333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.3333,124.7333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.3667,124.8500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",8.2167,126.3167,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",15.7333,121.5333,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",17.0833,122.4000,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
"Pithecophaga jefferyi","Philippine Eagle, Monkey-eating Eagle Cat:CR",7.8000,126.4500,"CR","http://www.rdb.or.id/view_html.php?id=79&op=pithjeff"
